 1,  A013,  M,    20,   145,  170.18,  113.20
 2,  A017,  F,    22,   176,  182.88,  150.50
 3,  A019,  M,    25,   178,  162.56,  125.70
 4,  B023,  F,    18,   163,  167.64,  134.10
 5,  B067,  M,    26,   175,  172.72,  137.30
 6,  B085,  F,    24,   153,  185.42,  118.60
 7,  C143,  M,    22,   258,  185.42,  132.30
 8,  C172,  F,    21,   174,  165.10,  114.50
 9,  D214,  M,    19,   187,  157.48,  137.10
10,  D231,  F,    27,   204,  193.04,  132.80
11,  D234,  M,    24,   149,  165.10,  127.40
12,  D281,  F,    22,   184,  160.02,  138.10
